Period,Day-ahead_Price_2015_[EUR/MWh],Emissions_2015_[g/kWh],Day-ahead_Price_2016_[EUR/MWh],Emissions_2016_[g/kWh],Day-ahead_Price_2017_[EUR/MWh],Emissions_2017_[g/kWh],Day-ahead_Price_2018_[EUR/MWh],Emissions_2018_[g/kWh],Day-ahead_Price_2019_[EUR/MWh],Emissions_2019_[g/kWh],Day-ahead_Price_2020_[EUR/MWh],Emissions_2020_[g/kWh],Day-ahead_Price_2021_[EUR/MWh],Emissions_2021_[g/kWh],Day-ahead_Price_2022_[EUR/MWh],Emissions_2022_[g/kWh],Day-ahead_Price_2023_[EUR/MWh],Emissions_2023_[g/kWh],
2865,39.95,491.247792759733,20.69,443.218065784354,8.71,242.956274863299,14.97,211.840278988736,51.47,407.709619603717,30.24,352.323106724338,78.29,422.247333787056,210.01,481.830357966035,50,218.626138850731,
2866,39.24,453.313875361324,20.05,409.081251339625,3.23,200.104932278654,4.9,186.421050649997,47.43,399.657665406406,27.98,343.784946994741,76.51,413.553384350015,205.85,436.801533555298,27.7,195.767757321675,
2867,37.97,430.034197598976,19.09,358.29970683263,-1.9,187.629007117081,6.52,176.576221306173,44.85,388.878096727229,26,319.531411791819,73.58,408.376207714684,195.95,399.894238938011,5.64,188.124564319539,
2868,33.12,428.461312937727,20.14,325.397743129088,-1.18,182.786409669723,0.88,167.878986111986,40.85,366.024932092765,23.49,292.415033788583,67.04,410.548385873834,186.58,375.865990046169,-2.55,180.082929249496,
2869,29.4,422.077394884182,20.86,324.006535049296,-70.01,173.718884472939,3.6,162.915823827854,36.49,348.963895485366,19.08,258.455238091088,61.77,417.57547733052,180.04,367.676615922372,-5.33,176.997451982508,
2870,29.92,422.724259910105,22.01,344.244911008744,-74.92,171.802462059224,2.32,163.065896900618,34.98,336.399729466918,18,241.200959611942,59.92,435.083976856689,172.94,362.80959554239,-3.08,180.242881809623,
2871,29.96,438.029203873072,22.59,363.376167710064,-71.96,170.593648758914,5.83,162.68314987069,34.94,329.506155829701,17.7,247.757086127462,58.9,452.660857954791,166.35,355.135718672924,1.19,190.257500347002,
2872,33.91,459.170630949159,26.01,368.237886719093,-49.97,182.832936540294,8.07,168.743557457362,35.34,336.685718303819,19.01,270.785365775854,60.41,475.106253126474,159.69,376.016677290401,14,207.539754923573,
2873,37.91,494.050680253022,30.82,381.353782345407,-6,191.363621734294,17.14,192.568074605882,41.3,353.28261617329,21.59,324.944044873644,69.64,492.273467753196,166.65,414.843008872968,70.57,263.295747984199,
2874,41.13,521.930456144635,34.83,432.833739858774,-1.21,207.031574998208,28.09,222.922759670744,47.09,389.207501985819,26.46,363.541785127775,75.55,509.833111185415,192.02,454.576287157418,106.96,381.230325018187,
2875,44.92,547.101219400491,35.18,481.715973638468,8.86,216.133640098318,33.81,240.326719301968,54.4,425.174012673766,28.7,381.72935144438,79.06,517.083322793204,226.09,483.489655794395,121.16,418.791848662725,
2876,42.12,549.669311889472,33.08,510.247065081697,10.08,218.040343174322,34.43,248.461585402819,51.76,458.537520046319,30.85,402.711802539577,80.96,521.959581948319,246.97,499.037935590783,123.6,417.510086670564,
2877,41.98,543.65035687898,30.93,522.64344895236,8.87,214.504645751589,32.64,249.049499116861,48.71,466.619673407952,27.81,404.868888059547,78.71,522.624183576706,252.64,506.95813357995,122.2,400.043872033189,
2878,38.41,528.128000755979,27.35,529.492258692881,-0.54,212.595178081504,24.99,248.174283188528,46.28,467.647079712333,23.69,374.720837257476,75.23,514.894836231178,247.11,506.876597971301,117.12,402.38597594562,
2879,33.3,519.425532410785,24.17,524.846430234715,-70.01,216.651919262288,16.13,230.764720197019,43.41,448.545233653142,20.96,305.152709259949,68.86,508.545692278245,239.09,517.112564628063,108.71,428.113481880959,
2880,24.34,498.425696681336,24.25,517.428191681675,-26.94,218.920383398586,-0.02,197.127945933993,38,431.37122084803,17.55,258.510441942188,69.29,508.480970587419,219,533.553427044915,109.9,428.686448560345,
2881,24.09,491.768381706708,24.54,502.231730719479,-25,216.884176423981,-5.34,198.364448609301,35.2,412.842159888195,15.57,216.332070438348,64.6,503.789631474897,206,548.613238085136,99.9,395.651769825962,
2882,23.79,477.097385886543,25.04,498.116354326263,-30.11,221.38251031702,-5.2,193.9713552505,32.64,410.773104555864,14.05,195.635162124871,61.08,481.111583717908,199.7,547.499878099243,95.49,375.469682963915,
2883,23.42,470.158300357741,24,509.58869926393,-30.03,226.50322618507,-14.88,188.874744057327,31.16,414.298299184698,13.64,188.509991697248,59.93,450.901006201989,197.56,554.428877404434,89.98,364.384174552964,
2884,22.83,467.217743397205,24,508.63234097232,-24.9,232.814553954506,-19.41,189.064573212238,29.56,400.422490338182,13.84,188.435486022425,59.9,433.397252184808,192.2,562.508939664905,87.29,348.417277991348,
2885,22.01,476.19677089922,24.22,514.067255048451,-30.05,249.119106906667,-13.71,185.48361467948,29.72,382.66816445554,17.4,200.105224373464,58,413.366259149693,197.43,568.640259249301,88,349.887707891281,
2886,19.09,472.55403559249,25.45,527.394198131717,-62.95,243.169386279348,-4.98,187.8406982766,27.51,374.746449829085,21.35,211.29334676864,52.54,404.055632769908,201.32,569.971588586803,87.16,339.536297880088,
2887,20.92,468.94312090323,26.81,525.307344203101,-53.85,235.155050094147,-3.39,187.281325729025,27.6,334.016061004603,24.97,224.451806284916,53.94,389.571601182043,195,562.982180855919,84.2,317.05360678622,
2888,19.83,445.993628952694,28.69,508.025450390173,-67.02,231.237826280127,-16.67,175.979765301534,30.9,310.363056201432,25.11,232.681254059297,57.38,359.283989059337,194.95,535.684158863478,83.14,308.732336607509,
2889,21.11,421.267340253928,25.7,493.587173479133,-65,217.670844705349,-12.49,168.817778981422,29.4,293.619531216036,23.46,216.712050060512,56.21,321.735521945883,186.94,494.357645655816,84.04,277.774879149908,
2890,22.81,403.22373230462,24.05,468.679570991551,-67.08,210.945621255184,-6.62,165.888821218817,28.88,266.754531726263,21.89,187.072974811321,54.7,309.56807425988,182.04,442.667082723261,74.29,224.931584751135,
2891,23.21,399.64054565322,22.44,431.864570242961,-66.85,212.667383157178,-0.92,162.273948670204,28.65,244.030347576458,21.02,170.603247335244,53.39,306.932456080105,177.31,390.516614148247,67.99,208.033707905239,
2892,24.57,391.524740033331,22.01,407.750321659785,-60.39,219.17448776088,-16.7,156.551157267765,21.12,217.754469942267,14.81,154.702733285131,53.13,294.898456537584,176.5,366.297508974367,54.63,202.263942366017,
2893,21.4,375.140211018008,21.48,403.347028260271,-61.14,225.780418432025,-35.86,154.757811796777,4.9,198.738712851315,9.25,150.119247168449,51.05,291.234079256828,174.92,356.279501008541,34.69,199.554198062786,
2894,20.09,376.634696100758,21.17,401.122153075754,-27.22,237.110382486034,-58.96,154.143168306173,-2.46,189.344826647942,10.22,151.140241114497,48.24,293.716694463875,150.74,343.342512252453,29.99,206.382080703745,
2895,19.12,389.942195606916,21.54,413.137962932927,-12.01,254.855417251631,-48.6,159.184522661185,-2.82,183.341476557973,13.45,154.199826381303,45.53,317.22914147167,140.4,347.262246653458,41.19,214.216923358729,
2896,19.97,394.773027878924,22.34,433.258488131455,-1.2,275.808928500438,-22.01,166.426878441274,1.98,182.738084268302,17.75,174.672174298287,48.98,362.587021115723,138.9,363.949649378589,76.25,248.721875379669,
2897,21.69,424.790781864846,25.02,459.734664244249,7.42,306.354399034036,-4.38,183.568159463568,19.61,191.404928251092,23.41,221.719922442565,50.47,391.947808508932,155.9,400.926823479246,95.58,345.078804992682,
2898,24.83,462.706327001469,25.51,486.730928838077,14.01,325.152868806905,10.85,230.894229715341,29.65,215.218028627106,27.13,258.356449401176,54.4,411.376273919913,187.04,455.127956407777,116.37,412.377415525176,
2899,25.92,487.02839180144,25.61,509.318532994959,25.78,348.561926793232,22.64,299.310265133399,34.51,263.715394105704,34.74,284.12121569661,61.01,415.095800274664,215.85,501.563070023125,124.64,409.438398148007,
2900,28.69,489.968052346379,28.53,520.884037747788,24.9,365.409254211568,28.85,331.771095794386,37.25,315.562339611682,34.66,290.195787028669,68.69,405.602437113518,249.43,530.9303355646,125.8,419.202509674963,
2901,28.65,490.426727091111,27.92,515.621782356004,22.98,367.788065910891,30.98,346.345922661087,33.2,352.707302381904,29.02,285.475419428898,65.06,398.003588198061,254.94,539.461008477962,121.72,424.813588412498,
2902,28.7,482.416680499893,24.03,500.164483116379,22.09,383.801776427041,32.02,354.941992972562,35.18,350.669482502105,22.04,250.649835233457,60.34,389.921386243727,243.03,540.342043844015,117.9,419.720710800247,
2903,25.88,488.758177997596,20.1,488.727767081202,12.05,382.435018194149,27.93,380.426874201821,29.96,347.240181808505,13.77,195.249716629212,52.58,386.960750466099,239.72,548.194658727859,111.04,411.052022940872,
2904,23.94,495.934772822879,19.81,486.61064525325,13.47,373.560678073766,32.03,369.627218893399,31.18,344.056504927071,5.5,172.336427541351,55.67,368.241725992669,215.97,557.620991371532,98.48,366.802704767221,
2905,21.62,487.919144299425,18.72,464.484956884139,12.01,367.228959827204,28.07,367.631998904233,27.67,333.264751649923,5.35,171.615645105401,52.09,356.583939222559,206.46,554.409739462284,85.6,320.630468158221,
2906,19.37,494.372242997602,17.03,448.745226409804,10.41,367.279742084025,28.18,373.280753803338,27.21,301.064936805452,3.82,174.860432549005,50.46,347.994431231182,199.87,553.127279114649,83.3,282.811065154885,
2907,17.68,494.866401966725,17.17,447.788996408496,12.03,363.82586657974,27.68,392.746428708162,25.71,279.86231609398,2.63,171.229272883244,49.03,340.633684447445,194.69,557.002106361623,80.9,267.81244461308,
2908,17.96,499.152485689497,17.92,441.917907735917,9.69,375.818501886213,28.48,398.259911853087,26.97,269.52178111083,1.56,171.385887697635,49.43,339.707571589973,193.76,562.328396029856,81.22,278.644778965879,
2909,20.04,502.471187011157,17.64,452.218609600861,25.03,405.280150409814,29.55,416.935890013091,31.93,268.831507040201,2.46,170.677760637231,49.17,334.864984188337,196.34,573.43204223883,90.39,322.460707975583,
2910,22.07,491.854717254554,17.04,457.80348176237,33.95,431.754943376644,44.68,445.129727286496,41.75,318.0963649134,2.54,168.471130589618,48.21,324.123060430597,209.96,581.023380714339,111.06,329.15106163906,
2911,23.22,474.824989353758,16.82,444.49526319656,38.97,432.585063569985,45.89,430.59040858604,45.52,332.569052286976,1.5,163.850038834516,49.39,302.168302983542,248.88,567.735378019686,127.45,311.518065995495,
2912,26.05,447.924144554715,17.42,439.838028617567,39.98,416.01624597141,49.78,412.117966908298,47.18,308.542200812455,-1.57,154.721354488425,50.76,276.725126488709,270,509.370266384813,135.17,308.73120506416,
